备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
粤备2024022495,溴芬酸钠滴眼液,国药准字H20243922,中山万汉制药有限公司,广东省中山市南朗华南现代中医药城科创园2号,中山万汉制药有限公司,广东省中山市南朗镇华南现代中医药城思邈路16号,本品在药品标签及说明书上增加“通过一致性评价”的标识。,广东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023267,葡萄糖注射液,国药准字H22023071,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更250ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
Y辽备2024013834,地氯雷他定,Y20200001494,无,无,沈阳三九药业有限公司,辽宁省沈阳市新民经济开发区东营北一路7号,"1、企业注册标准性状项下增加熔点检测项； 
2、修订企业注册标准性状项下的溶解度；
3、修订企业注册标准鉴别项下的紫外鉴别。",辽宁省药品监督管理局,2024-06-20,已备案,详情
粤备2024011566,强筋健骨丸,国药准字Z44021758,广州白云山和记黄埔中药有限公司,广州市白云区沙太北路389号,广州白云山和记黄埔中药有限公司,广州市沙太北路389号,根据强筋健骨丸药品再注册批件（批件号：2020R002035）的要求，本品恢复生产上市。,广东省药品监督管理局,2024-06-20,已备案,详情
冀备2024023390,阿仑膦酸钠片,国药准字H20061303,石药集团欧意药业有限公司,石家庄经济技术开发区扬子路88号,石药集团欧意药业有限公司,石家庄经济技术开发区扬子路88号,申请备案本品有效期变更为“24个月”信息。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性，有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-06-20,已备案,详情
川备2024003391,氯雷他定口腔崩解片,H20080527,四川新斯顿制药股份有限公司,成都现代工业港南片区,四川新斯顿制药股份有限公司,成都现代工业港南片区,已上市化学药品氯雷他定口腔崩解片原料药氯雷他定，供应商由常州亚邦制药有限公司变更为常州亚邦制药有限公司、湖南华纳大药厂手性药物有限公司。（常州亚邦制药有限公司氯雷他定登记号：Y20190008725/A；湖南华纳大药厂手性药物有限公司氯雷他定登记号：Y20190008305/A）。,四川省药品监督管理局,2024-06-20,已备案,详情
鲁备2024022477,阿昔莫司分散片,国药准字H20060318,鲁南贝特制药有限公司,山东省临沂市红旗路209号,鲁南贝特制药有限公司,山东省临沂市银雀山路243号,增加江苏神华药业有限公司为本品制剂所用原料药的供应商。,山东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023271,葡萄糖注射液,国药准字H20113361,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更50ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
粤备2024022115,银花口服液,国药准字Z20050676,中山市恒生药业有限公司,中山市西区广丰工业大道3号,中山市恒生药业有限公司,广东省中山市西区广丰工业大道3号,本品变更包装规格（最小包装药品装量）：增加“每支装10ml”，药品说明书和标签做相应修订。,广东省药品监督管理局,2024-06-20,已备案,详情
粤备2024022494,溴芬酸钠滴眼液,国药准字H20243868,中山万汉制药有限公司,广东省中山市南朗华南现代中医药城科创园2号,中山万汉制药有限公司,广东省中山市南朗镇华南现代中医药城思邈路16号,本品在药品标签及说明书上增加“通过一致性评价”的标识。,广东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023502,阿莫西林胶囊,国药准字H22023191,吉林省利华制药有限公司,长春高新区创新路333号,吉林省利华制药有限公司,长春高新区创新路333号,根据《药品注册管理办法》（局令第27号）及临床使用情况，增加药品包装规格：铝塑泡罩包装（聚氯乙烯固体药用硬片、药用铝箔），14粒x2板/盒，并对说明书中的包装规格做相应修改。同时根据《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更药品标签，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责标签内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
鄂备2024023484,磺胺嘧啶钠注射液,国药准字H42020623,湖北美林药业有限公司,湖北省孝感市云梦县经济开发区和平路8号,湖北美林药业有限公司,湖北省孝感市云梦县经济开发区和平路8号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由湖北中佳药业有限公司变更为湖北美林药业有限公司;生产企业地址由湖北省天门市华侨路6号变更为湖北省孝感市云梦县经济开发区和平路8号,湖北省药品监督管理局,2024-06-20,已备案,详情
吉备2024023143,辣椒碱凝胶,国药准字H20060290,吉林省德商药业股份有限公司,吉林省辉南县经济开发区北一街,山东绿叶制药有限公司,山东省烟台市莱山区宝源路9号,申请对辣椒碱凝胶（国药准字H20060290）的原料药辣椒碱在原有供应商山东绿叶制药有限公司的基础上增加长春普华制药股份有限公司（登记号：Y20190001343）进行备案，已完成相关验证工作，验证结果符合相关要求。企业对申报材料的真实性和合法性负责。,吉林省药品监督管理局,2024-06-20,已备案,详情
渝备2024022460,氯化钠注射液,国药准字H50021387,天圣制药集团股份有限公司,重庆市朝阳工业园区（垫江桂溪）,天圣制药集团股份有限公司,重庆市朝阳工业园区（垫江桂溪）,增加海安县健民橡塑有限公司为氯化钠注射液（500ml：4.5g）多层共挤输液袋用聚丙烯双口管接口和塑料输液容器用聚丙烯易折式组合盖的包材供应商。,重庆市药品监督管理局,2024-06-20,已备案,详情
湘备2024023283,左乙拉西坦片,国药准字H20223929,湖南嘉恒制药有限公司,浏阳经济技术开发区康万路910号,湖南嘉恒制药有限公司,浏阳经济技术开发区康万路910号,增加左乙拉西坦片药品原料药（原料药名称：左乙拉西坦）的供应商（浙江华海药业股份有限公司）。,湖南省药品监督管理局,2024-06-20,已备案,详情
粤备2024022495,溴芬酸钠滴眼液,国药准字H20243922,中山万汉制药有限公司,广东省中山市南朗华南现代中医药城科创园2号,中山万汉制药有限公司,广东省中山市南朗镇华南现代中医药城思邈路16号,本品在药品标签及说明书上增加“通过一致性评价”的标识。,广东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023267,葡萄糖注射液,国药准字H22023071,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更250ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
Y辽备2024013834,地氯雷他定,Y20200001494,无,无,沈阳三九药业有限公司,辽宁省沈阳市新民经济开发区东营北一路7号,"1、企业注册标准性状项下增加熔点检测项； 
2、修订企业注册标准性状项下的溶解度；
3、修订企业注册标准鉴别项下的紫外鉴别。",辽宁省药品监督管理局,2024-06-20,已备案,详情
吉备2024023271,葡萄糖注射液,国药准字H20113361,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更50ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
粤备2024011566,强筋健骨丸,国药准字Z44021758,广州白云山和记黄埔中药有限公司,广州市白云区沙太北路389号,广州白云山和记黄埔中药有限公司,广州市沙太北路389号,根据强筋健骨丸药品再注册批件（批件号：2020R002035）的要求，本品恢复生产上市。,广东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023179,复方丹参片,国药准字Z20194039,吉林真元制药有限公司,吉林省榆树市刘家镇（长春五棵树现代农业产业开发区）,吉林真元制药有限公司,吉林省榆树市刘家镇（长春五棵树现代农业产业开发区）,申请对使用口服固体药用高密度聚乙烯瓶包装的复方丹参片（国药准字Z20194039)，药品有效期由24个月延长至36个月进行备案。企业对申报资料真实性和合法性负责，并于备案公示后对该药品说明书和标签中有效期项做相应修改。,吉林省药品监督管理局,2024-06-20,已备案,详情
桂备2024022945,复方金钱草颗粒,国药准字Z45021680,广西万通制药有限公司,南宁市中尧南路东二里16号,广西万通制药有限公司,南宁市中尧南路东二里16号,"1、重新设计说明书/复合膜/纸盒的图案及文字排版方式。
 其余文字内容按原审核内容不变。",广西壮族自治区药品监督管理局,2024-06-20,已备案,详情
甘备2024022346,复方羊角颗粒,国药准字Z62020700,甘肃佛仁制药科技有限公司,甘肃武都工业园区1号,甘肃佛仁制药科技有限公司,甘肃武都工业园区1号,"按照国家药品监督管理局《药品说明书和标签管理规定》（局令第24号）及国家市场监督管理总局《药品注册管理办法》（局令第27号）等规定，申请对本品的说明书和标签进行变更：1、增加“独一味”商标；
2、由原先的三个版本合并至一个版本，【包装】项下内容分别由“药用复合膜袋装，8g×10袋/盒”、“药用复合膜袋装，8g×12袋/盒”、“药用复合膜袋装，8g×20袋/盒”合并成“药用复合膜袋装，8g×10袋/盒，8g×12袋/盒，8g×20袋/盒”。",甘肃省药品监督管理局,2024-06-20,已备案,详情
鲁备2024022765,元胡止痛片,国药准字Z37020506,山东广育堂国药有限公司,济宁高新技术产业开发区海川路369号,山东广育堂国药有限公司,济宁高新技术产业开发区海川路369号,依据”国家药监局关于修订元胡止痛制剂说明书的公告（2024年第40号）“，对元胡止痛片说明书中的【不良反应】、【禁忌】、【注意事项】进行修订，包装、标签做相应修订，说明书、标签内容符合24号令。,山东省药品监督管理局,2024-06-20,已备案,详情
川备2024022279,熊去氧胆酸胶囊,国药准字H20223618,成都赛璟生物医药科技有限公司,中国（四川）自由贸易试验区成都高新区和民街366号3号楼4层402,成都奥邦药业有限公司,邛崃市羊安镇羊安工业园区羊横四路22号,说明书中增加电子说明书二维码,四川省药品监督管理局,2024-06-20,已备案,详情
鲁备2024022932,氧,国药准字H37023959,烟台市康泰医用氧气有限公司,烟台市芝罘区只楚街道东玉居委东7号,烟台市康泰医用氧气有限公司,烟台市芝罘区只楚街道东玉居委东7号,增加原料药供应商：青岛宝岛气体有限公司、山东盛世阳光气体有限公司。,山东省药品监督管理局,2024-06-20,已备案,详情
闽备2024023549,伤湿丸,国药准字Z20103044,福州屏山制药有限公司,福建省福州市鼓楼区五四路321号奥体都市花园（琴亭花园广场）A区第13层B室,"福州屏山制药有限公司,威海人生药业有限公司","福州市仓山区科技园十区高盛路3号,山东省威海市环翠区张村镇雍江街20号","因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由福建省福州市仓山区科技园十区,山东省威海市环翠区张村镇雍江街20号变更为福州市仓山区科技园十区高盛路3号,山东省威海市环翠区张村镇雍江街20号",福建省药品监督管理局,2024-06-20,已备案,详情
蒙备2024022897,人工牛黄甲硝唑胶囊,国药准字H15021184,内蒙古东北六药集团有限公司,通辽市新工三路南段,内蒙古东北六药集团有限公司,通辽市新工三路南段：片剂，硬胶囊剂(含头孢菌素类)，颗粒剂，散剂，原料药***,申请增加人工牛黄甲硝唑胶囊“聚氯乙烯固体药用硬片/药品包装用铝箔泡罩包装，10粒/板×2板/盒、10粒/板×5板/盒、15粒/板×4板/盒、16粒/板×2板/盒”的包装规格，并对其说明书和包装标签进行备案。 申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-06-20,已备案,详情
吉备2024023173,头孢氨苄甲氧苄啶胶囊,国药准字H22026319,长春海外制药集团有限公司,长春市海外街1号,长春海外制药集团有限公司,长春市海外街1号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更铝塑包装，12粒×3板/盒药品标签，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责标签内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
蒙备2024023339,益智温肾十味丸,国药准字Z15020406,内蒙古蒙药股份有限公司,通辽经济技术开发区辽河大街西段,内蒙古蒙药股份有限公司,通辽经济技术开发区辽河大街西段,依据国家药品标准补充颁布件（批件号：2024B007）申请益智温肾十味丸口服固体药用高密度聚乙烯瓶75粒/瓶×1瓶/盒的说明书标签及包装标签。说明书：（1）增加警示语。（2）增加【执行标准】。瓶签：（1）删除“功能精炼”，增加汉语拼音。（2）增加警示用语，删除“请按药品说明书服用”。（3）规范【包装】项。盒：（1）删除“功能精炼”，增加汉语拼音。详见说明书标签修订说明及包装标签修订说明。申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-06-20,已备案,详情
辽备2024023397,甲钴胺片,国药准字H20041229,辽宁亿帆药业有限公司,本溪经济技术开发区香槐路67号,辽宁亿帆药业有限公司,本溪经济技术开发区香槐路67号,在原有合格供应商的基础上增加原料供应商河北华荣制药有限公司。,辽宁省药品监督管理局,2024-06-20,已备案,详情
甘备2024022201,肾石通颗粒,国药准字Z62021054,甘肃新岷海制药有限公司,甘肃省定西市岷县当归大道816号,甘肃岷海制药有限责任公司,甘肃岷县工业园区,按照原国家食品药品监督管理局24号令有关规定，对包装规格为“每袋重15g：药用复合膜包装，15g×6袋/盒”的肾石通颗粒药品说明书和包装标签商标进行变更，商标由“岷州”牌变更为“豪克”、“好医生”牌。,甘肃省药品监督管理局,2024-06-20,已备案,详情
辽备2024023251,氨咖黄敏胶囊,国药准字H21022680,锦州本天药业有限公司,锦州滨海新区娘娘宫龙栖湾大道三段8号,锦州本天药业有限公司,锦州滨海新区娘娘宫龙栖湾大道三段8号,变更制剂所用原料药的供应商。氨咖黄敏胶囊的原料药之一为对乙酰氨基酚，其原有供应商为锦州九泰药业有限责任公司及辽源市百康药业有限责任公司，现在原有供应商的基础上，新增一家供应商，葫芦岛市博发药业有限公司。,辽宁省药品监督管理局,2024-06-20,已备案,详情
鲁备2024023012,元胡止痛片,国药准字Z37021364,华润三九（枣庄）药业有限公司,枣庄高新技术产业开发区广润路99号,华润三九（枣庄）药业有限公司,枣庄高新技术产业开发区广润路99号,根据《国家药监局关于修订元胡止痛制剂说明书的公告》（2024年第40号）的要求，对本品说明书中的【不良反应】、【禁忌】、【注意事项】项进行修订，标签根据说明书中的有关内容一并修订。说明书和标签的其他内容与原批准内容一致。,山东省药品监督管理局,2024-06-20,已备案,详情
粤备2024022770,元胡止痛片,国药准字Z44021991,广州小奇灵制药有限公司,广州市白云区京溪路201号201房自编217室,广州小奇灵制药有限公司,揭阳市普宁市云落镇红光村广汕公路旁,根据国家药监局关于修订元胡止痛制剂说明书的公告（2024年第40号）要求，修订本品处方药、非处方药说明书【不良反应】、【禁忌】、【注意事项】项。,广东省药品监督管理局,2024-06-20,已备案,详情
晋备2024022570,盐酸舍曲林片,国药准字H20060316,山西仟源医药集团股份有限公司,山西省大同经济技术开发区恒安街1378号A区,山西仟源医药集团股份有限公司,山西省大同经济技术开发区恒安街1378号A区,1、变更有效期：申请盐酸舍曲林片有效期由24个月延长至36个月； 2、申请说明书及包装标签备案：本品于2024年05月10日通过药品注册批准文件载明的生产地址变更备案，现申请说明书及包装标签上将注册地址和生产地址变更为山西省大同经济技术开发区恒安街1378号A区，同时将说明书及包装标签中的有效期修订为36个月。,山西省药品监督管理局,2024-06-20,已备案,详情
鲁备2024022988,匹伐他汀钙片,国药准字H20140011 国药准字H20205017 国药准字H20205018,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（完整版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-06-20,已备案,详情
粤备2024022425,小儿咳喘灵口服液,国药准字Z61020452,一品红生物医药有限公司,广州市黄埔区东区东博路6号自编一栋自编101房,"广州市联瑞制药有限公司,广州一品红制药有限公司","广州市南沙区万顷沙镇同发路2号,广州市经济技术开发区东区东博路6号",本品生产场地由“（1）生产企业：广州一品红制药有限公司，生产地址：广州市经济技术开发区东区东博路6号；（2）生产企业：广州市联瑞制药有限公司，生产地址：广州市南沙区万顷沙镇同发路2号”变更为：“（1）生产企业：广州一品红制药有限公司，生产地址：广州市经济技术开发区东区东博路6号、广州市南沙区万顷沙镇同发路2号（共用中药前处理及提取车间）；（2）生产企业：广州市联瑞制药有限公司，生产地址：广州市南沙区万顷沙镇同发路2号。”,广东省药品监督管理局,2024-06-20,已备案,详情
晋备2024023255,替格瑞洛片,国药准字H20233529,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,1.变更制剂所用原料药的供应商：替格瑞洛片（90mg）中替格瑞洛的原料药供应商为山西双雁药业有限公司，现申请增加替格瑞洛的原料药供应商泓博智源（开原）药业有限公司（登记号Y20190021511，与制剂共同审评审批结果“A”）。2.变更制剂生产工艺：为满足生产能力需要，更换相同设计和工作原理的湿法制粒机、压片机，新增一台设计和工作原理相同的铝塑机。,山西省药品监督管理局,2024-06-20,已备案,详情
鄂备2024001798,氨咖黄敏胶囊,国药准字H42022650,湖北民康制药有限公司,湖北省宜昌市西坝路50号,湖北民康制药有限公司,湖北省宜昌市伍家岗区花艳一路1号,"1、申请氨咖黄敏胶囊批量变更：批量由300万粒变更为100万粒。
2、申请变更氨咖黄敏胶囊制剂生产工艺：制微丸工序由荸荠锅起丸模，变更为湿法制粒机制软材整粒干燥作为丸模置离心滚圆。
3、申请变更氨咖黄敏胶囊制剂生产设备：制丸工序：由BY-1000型荸荠式糖衣机变更为LHSZ400B整粒湿法混合制粒机和WL-1000离心式制丸机。
4、申请变更氨咖黄敏胶囊制剂中粘合剂的用量：粘合剂用量变化在±0.5%~±1%之间。
5、整粒筛分目数：由18目、30目变更为14目、30目",湖北省药品监督管理局,2024-06-20,已备案,详情
桂备2024022942,复方丹参片,Z45021721,广西万通制药有限公司,南宁中尧南路东二里16号,广西万通制药有限公司,南宁中尧南路东二里16号,"1、增加包装规格。将说明书/纸盒【包装】项下“内包装材质为高密度聚乙烯塑料瓶；每瓶装120片。”
2、重新设计说明书/标签/纸盒的图案及文字排版方式。
其余文字内容按原审核内容不变。",广西壮族自治区药品监督管理局,2024-06-20,已备案,详情
甘备2024022199,小儿感冒颗粒,国药准字Z62021061,甘肃新岷海制药有限公司,甘肃省定西市岷县当归大道816号,甘肃岷海制药有限责任公司,甘肃岷县工业园区,按照原国家食品药品监督管理局24号令有关规定，对包装规格为“每1g相当于饮片1.65g：药用复合膜包装，6g×12袋/盒”的小儿感冒颗粒药品说明书和包装标签商标进行变更，商标由“岷州”牌变更为“乐药师”牌。,甘肃省药品监督管理局,2024-06-20,已备案,详情
沪备2024018842,银杏酮酯胶囊,国药准字Z20060370,上海上药杏灵科技药业股份有限公司,上海市青浦区华青路1991号,上海上药杏灵科技药业股份有限公司,上海市青浦区华青路1991号,新增直接接触药品包装材料：聚氯乙烯固体药用硬片和药用铝箔，包装规格为12粒/板/盒、2×12粒/板/盒，有效期暂定24个月，说明书和包装标签作相应修订。,上海市药品监督管理局,2024-06-20,已备案,详情
湘备2024022786,舒更葡糖钠注射液,国药准字H20234584,长沙市如虹医药科技股份有限公司,湖南省长沙市雨花区环保中路188号国际企业中心7栋A604号,湖南五洲通药业股份有限公司,湖南省湘潭天易经开区碧泉潭路219号,舒更葡糖钠注射液（2ml:200mg）产品有效期由“12个月”延长至“18个月”，同时修订药品说明书和标签的相应内容。,湖南省药品监督管理局,2024-06-20,已备案,详情
湘备2024023384,缩宫素注射液,国药准字H43021454,康普药业股份有限公司,湖南省常德市汉寿县高新产业园康普大道8号,康普药业股份有限公司,湖南省汉寿太子庙工业园康普大道8号,将缩宫素注射液药品有效期由18个月延长至24个月；直接接触药品的包装材料和容器：中硼硅玻璃安瓿。,湖南省药品监督管理局,2024-06-20,已备案,详情
鲁备2024023160,元胡止痛片,国药准字Z37020293,鲁南厚普制药有限公司,临沂市红旗路209号,鲁南厚普制药有限公司,山东省临沂市银雀山路239号,根据《国家药监局关于修订元胡止痛制剂说明书的公告》（2024年第40号），对本品说明书中【不良反应】、【禁忌】、【注意事项】项内容进行修订，同时对本品包装标签进行相应修订。,山东省药品监督管理局,2024-06-20,已备案,详情
吉备2024023268,葡萄糖注射液,国药准字H20113360,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更100ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-20,已备案,详情
鲁备2024022989,盐酸二甲双胍缓释片,国药准字H20050374,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（完整版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-06-20,已备案,详情
桂备2024023038,金松止痒洗液,国药准字B20020210,广西花红金松药业有限责任公司,广西河池市宜州区城西经济开发区金宜大道601号,广西花红金松药业有限责任公司,广西河池市宜州区城西经济开发区金宜大道601号,"金松止痒洗液外用液体药用高密度聚乙瓶，原有装量规格“每瓶15ml、每瓶125ml、每瓶200ml、每瓶250ml、每瓶255ml、每瓶300ml"",在此基础上增加”每瓶215ml“装量规格。",广西壮族自治区药品监督管理局,2024-06-20,已备案,详情
