备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
豫备2024019906,维生素B1片,国药准字H41022757,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
赣备2024018855,补中益气丸,国药准字Z36021728,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,江西省樟树市福城工业园区；江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-28,已备案,详情
赣备2024018849,八珍丸,国药准字Z36021705,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,江西省樟树市福城工业园区；江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-28,已备案,详情
粤备2024019242,盐酸莫西沙星滴眼液,国药准字H20243709,中山万汉制药有限公司,广东省中山市南朗华南现代中医药城科创园2号,中山万汉制药有限公司,广东省中山市南朗镇华南现代中医药城思邈路16号,本品在说明书及包装标签中增加“通过一致性评价”标识。,广东省药品监督管理局,2024-05-28,已备案,详情
冀备2024019948,盐酸昂丹司琼注射液,国药准字20243751,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,申请备案本品有效期变更为“24个月”。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-05-28,已备案,详情
浙备2024019277,小金丸,国药准字Z33020158,杭州胡庆余堂药业有限公司,浙江省杭州市临平区经济技术开发区新洲路70号,杭州胡庆余堂药业有限公司,浙江省杭州市临平区经济技术开发区新洲路70号,"1、根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》(2023年第142号)，作为第一批参与试点的药品上市许可持有人对小金丸的说明书进行相应的修订。修订内容为:在纸质说明书(完整版)上，增加一个可获得电子说明书(完整版)的二维码。
2、本品上市许可持有人注册地址名称由“杭州余杭经济技术开发区新洲路70号”变更为“浙江省杭州市临平区经济技术开发区新洲路70号”；生产企业地址名称由“杭州余杭经济技术开发区新洲路70号”变更为“浙江省杭州市临平区经济技术开发区新洲路70号”，并对说明书、包装标签作相应修订。",浙江省药品监督管理局,2024-05-28,已备案,详情
赣备2024019885,坤宝丸,国药准字Z20184017,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,生产地址一：江西省樟树市福城工业园区；生产地址二：江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-28,已备案,详情
浙备2024019506,酪酸梭菌活菌胶囊,国药准字S20040054,杭州远大生物制药有限公司,浙江省杭州市上城区九环路63号（标准厂房14号楼）,远大生命科学（重庆）有限公司,重庆市高新区二郎创业路101至109单号（二郎高科创业园B区12层）,根据《药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），作为第一批参与试点的药品上市许可持有人对酪酸梭菌活菌胶囊（批准文号：国药准字S20040054）的说明书进行相应修订。修订内容为：提供纸质药品说明书（简化版），并在纸质版药品说明书（简化版）上设计一个可获得电子药品说明书（完整版）的二维码。,浙江省药品监督管理局,2024-05-28,已备案,详情
赣备2024018843,白带丸,国药准字Z36021688,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,江西省樟树市福城工业园区；江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-28,已备案,详情
川备2024010073,氨基酸（15）腹膜透析液,国药准字H20213470,成都青山利康药业股份有限公司,成都高新区高朋大道14号,成都青山利康药业股份有限公司,成都市双流区西航港空港五路2888号,"新增制剂所用原料药供应商，新增上海味之素氨基酸有限公司生产的组氨酸（登记号:Y20190008966,A）、亮氨酸（登记号:Y20190009370,A）、盐酸赖氨酸（登记号:Y20190007665,A）、丙氨酸（登记号:Y20190007666,A），无锡晶海氨基酸股份有限公司生产的异亮氨酸（登记号:Y20190009682,A）、苯丙氨酸（登记号:Y20190009681,A）、苏氨酸（登记号:Y20190009683,A）、色氨酸（登记号:Y20190008701,A）、缬氨酸（登记号:Y20190009684,A）、精氨酸（登记号:Y20190008699,A）、脯氨酸（登记号:Y20190008706,A）、酪氨酸（登记号:Y20190008703,A），南宁嬴创美诗药业有限公司生产的甲硫氨酸（登记号: Y20190009594,A）、甘氨酸（Y20190009593,A）、丝氨酸（登记号:Y20190003933,A），自贡鸿鹤制药有限责任公司生产的氯化钙（登记号:Y20190008372,A），江苏省勤奋药业有限公司生产的氯化镁（登记号:Y20190000111,A），天津海光科技发展股份有限公司生产的氯化钠（登记号:Y20190009646,A），Purac Biochem BV生产的乳酸钠溶液（登记号:Y20190009980,A）为本品的原料药供应商。",四川省药品监督管理局,2024-05-28,已备案,详情
皖备2024019409,元胡止痛胶囊,国药准字Z34020974,天长亿帆制药有限公司,安徽省天长市铜城镇安乐工业园区,天长亿帆制药有限公司,安徽省天长市铜城镇安乐工业园区,"一、【不良反应】由“尚不明确”，变更为：监测数据显示，本品可见以下不良反应报告：恶心、呕吐、口干、腹痛、腹泻、腹胀、腹部不适、嗳气、皮疹、瘙痒、潮红、红斑、荨麻疹、多汗、头晕、头痛、嗜睡、失眠、胸部不适、乏力、发热、心悸、呼吸困难、过敏反应等，有肝功能异常、过敏性休克个例报告。
二、【禁 忌】由“尚不明确”，变更为：
1.孕妇忌服。
2.严重肝肾功能不全者禁用。
3.对本品及所含成份过敏者禁用。
三、【注意事项】由1．忌食生冷食物。
2．本品不宜用于虚证痛经，其表现为经期或经后小腹隐痛喜按，月经质稀或色淡，伴有头晕目花，心悸气短等症者。
3．服药中如出现皮疹，胸闷，憋气等过敏症状，应停药去医院就诊。
4．重度痛经者或服药后痛经不减轻，应去医院就诊。
5．痛经并伴有其他妇科疾病者，应去医院就诊。
6．按照用法用量服用。
7．对本品过敏者禁用，过敏体质者慎用。
8．本品性状发生改变时禁止使用。
9．儿童必须在成人监护下使用。
10．请将本品放在儿童不能接触的地方。
11．如正在使用其他药品，使用本品前请咨询医师或药师。
变更为：
1.饮食宜清淡，忌酒及辛辣、生冷、油腻食物。
2.忌愤怒、忧郁，保持心情舒畅。
3.本品不宜用于虚证痛经，其表现为经期或经后小腹隐痛喜按，月经质稀或色淡，伴有头晕目花，心悸气短等症者。
4.按照用法用量服用，不建议长期服用。服药中如出现皮疹，胸闷，憋气等过敏症状，或者其他严重不良反应，应当立即停药并就医。
5.重度痛经者或服药后痛经不减轻，应当去医院就诊。
6.痛经并伴有其他妇科疾病者，应当去医院就诊。
7.高血压、心脏病、肝病、糖尿病、肾病等患者应当在医师指导下服用。
8.哺乳期妇女、年老体弱者应当在医师指导下服用。
9.肝、肾功能不全者慎用；确需使用，应当在医生指导下使用并定期进行肝肾功能监测。
10.使用本品时不宜再合并用其他非甾体类镇痛药，如确需使用，应当加强监测。
11.对于有出血倾向或使用抗凝、抗血小板治疗的患者，在医生指导下使用，并注意监测。
12.服药3天症状无缓解，应当去医院就诊。
13.目前尚无儿童用药的临床证据。
14.过敏体质者慎用。
15.本品性状发生改变时禁止使用。
16.请将本品放在儿童不能接触的地方。
17.如正在使用其他药品，使用本品前请咨询医师或药师。
四、说明书修订日期：按备案许可日期。
五、说明书其他内容不变。
六、包装材质不变。",安徽省药品监督管理局,2024-05-28,已备案,详情
冀备2024020100,注射用青霉素钠,国药准字H13020656,华北制药股份有限公司,石家庄市和平东路388号,华北制药股份有限公司,石家庄市和平东路388号,"申请备案本品原料药供应商增加石药集团中诺药业(石家庄)有限公司,生产场地增加粉针二车间8楼8-2线,同时增加制剂生产批量。我公司对申报资料的真实性、准确性、完整性负责,并将持续关注变更后产品安全性、有效性和质量可控性,必要时提出补充申请。",河北省药品监督管理局,2024-05-28,已备案,详情
青备2024018438,二十八味槟榔丸,国药准字Z63020219,东格尔药业有限公司,青海省西宁市城北区经三路28号,东格尔药业有限公司,西宁市大通县宁张公路14公里处西宁中关村科技成果产业化基地11号楼,将“0.3g×30丸/盒”变更为“0.3g×10丸/袋×2袋/小盒×6小盒”。,青海省药品监督管理局,2024-05-28,已备案,详情
鲁备2024019309,复方丹参片,国药准字Z20093032,山东华信制药集团股份有限公司,菏泽市中华西路48号,山东华信制药集团股份有限公司,菏泽市中华西路48号,本品有效期由“24个月”变更为“36个月”。说明书和标签有效期项进行相应修订。,山东省药品监督管理局,2024-05-28,已备案,详情
吉备2024019917,他达拉非片,国药准字H20243441,通化万通药业股份有限公司,通化市万通路66号,通化万通药业股份有限公司,通化市万通路66号,申请对铝塑泡罩包装（聚氯乙烯固体药用硬片与药用铝箔）的他达拉非片（国药准字H20243441）有效期由18个月延长至24个月进行备案。企业对申报材料真实性和合法性负责，并于备案公示后对该药品说明书和标签中有效期项做相应修改。,吉林省药品监督管理局,2024-05-28,已备案,详情
豫备2024020119,罗通定片,国药准字H41023586,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
豫备2024020036,麦白霉素胶囊,国药准字H41025113,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
皖备2024019123,加味益母草膏,国药准字Z34020654,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市义城路18号,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市义城路18号,上市许可持有人地址及生产企业地址由“安徽省巢湖市长江东路43号”变更为“安徽省巢湖市义城路18号”。同时对说明书及标签进行相应修订。,安徽省药品监督管理局,2024-05-28,已备案,详情
黑备2024018806,利奈唑胺葡萄糖注射液,国药准字H20223359,黑龙江博宇制药有限公司,黑龙江省庆安县东城区,四川科伦药业股份有限公司,四川省成都市新都卫星城工业开发区南二路,变更利奈唑胺葡萄糖注射液所用原料药利奈唑胺的供应商，在原供应商四川科伦药业股份有限公司（登记号：Y20190021414）的基础上，新增供应商浙江苏泊尔制药有限公司（登记号：Y20210000262）。,黑龙江省药品监督管理局,2024-05-28,已备案,详情
鄂备2024020121,碳酸钙二甲硅油咀嚼片,国药准字H20052439,黄石燕舞药业有限公司,湖北省黄石经济技术开发区王圣大道东108号,黄石燕舞药业有限公司,湖北省黄石经济技术开发区王圣大道东108号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由黄石李时珍药业集团武汉李时珍药业有限公司变更为黄石燕舞药业有限公司;生产企业地址由武汉东湖新技术开发区关南工业园变更为湖北省黄石经济技术开发区王圣大道东108号,湖北省药品监督管理局,2024-05-28,已备案,详情
赣备2024019237,麝香壮骨膏,国药准字Z36020260,江西吉安三力制药有限公司,江西省吉安市峡江县工业园区,江西吉安三力制药有限公司,江西省峡江县工业园区,说明书变更。说明书依据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告(2023年第142号)》的要求，进行适老化及无障碍版本说明书（完整版）及电子药品说明书（完整版）备案。,江西省药品监督管理局,2024-05-28,已备案,详情
津备2024020095,元胡止痛片,国药准字Z12020020,天津同仁堂集团股份有限公司,天津市西青经济开发区赛达八支路1号,天津同仁堂集团股份有限公司,天津市西青经济开发区赛达八支路1号,按照国家药品监督管理局《关于修订元胡止痛制剂说明书的公告》（2024年第40号）要求，天津同仁堂集团股份有限公司申请修订元胡止痛片说明书和包装标签【不良反应】【禁忌】【注意事项】等项内容。,天津市药品监督管理局,2024-05-28,已备案,详情
冀备2024019946,盐酸昂丹司琼注射液,国药准字20243750,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,申请本品按照国家相关文件精神在说明书和标签上添加“通过一致性评价”标识。承诺说明书和包装标签其他项目及内容未擅自修改，并符合国家食品药品监督管理局令第24号及有关文件的要求。,河北省药品监督管理局,2024-05-28,已备案,详情
川备2024016817,替硝唑氯化钠注射液,国药准字H20033001,四川国瑞药业有限责任公司,乐山市犍为县玉津镇凤凰路北段,四川国瑞药业有限责任公司,四川省犍为县玉津镇凤凰路北段,按国家药监局关于修订替硝唑注射剂说明书的公告（2024年第31号）修订要求，对替硝唑氯化钠注射液说明书的警示语、不良反应、注意事项、禁忌、药物相互作用、药物过量的内容进行相应修订。,四川省药品监督管理局,2024-05-28,已备案,详情
粤备2024019078,干酵母片,国药准字H44023377,广东五洲药业有限公司,湛江市遂溪县民营科技工业园工业南路1号,广东五洲药业有限公司,湛江市遂溪县民营科技工业园工业南路1号,本品变更药品注册批件中生产地址，由“广东省遂溪县民营科技工业园工业南路1号”文字性变更为“湛江市遂溪县民营科技工业园工业南路1号”。,广东省药品监督管理局,2024-05-28,已备案,详情
川备2024014860,痛经口服液,国药准字Z51021977,成都华神科技集团股份有限公司制药厂,成都市西南航空经济开发区锦华路二段3号,成都华神科技集团股份有限公司制药厂,成都高新区科晶路285号,该品种生产工艺醇沉工序中增加离心过滤。,四川省药品监督管理局,2024-05-28,已备案,详情
Y粤备2024019073,干酵母,国药准字H44022242,无,无,广东五洲药业有限公司,湛江市遂溪县民营科技工业园工业南路1号,本品变更药品注册批件中生产地址，由“广东省遂溪县民营科技工业园工业南路1号”文字性变更为“湛江市遂溪县民营科技工业园工业南路1号”。,广东省药品监督管理局,2024-05-28,已备案,详情
粤备2024005207,磷酸奥司他韦颗粒,国药准字H20234026,中润药业有限公司,广州市黄埔区开源大道11号A3栋601室,华益药业科技(安徽)有限公司,合肥市包河区工业区上海路11号,新增本品制剂所用原料药磷酸奥司他韦供应商：湖南九典宏阳制药有限公司。,广东省药品监督管理局,2024-05-28,已备案,详情
粤备2024018299,葡萄糖注射液,国药准字H44020200,广东大冢制药有限公司,佛山市顺德区容桂街道市高新技术产业开发园,广东大冢制药有限公司,广东省佛山市顺德区容桂街道市高新技术产业开发园,将葡萄糖注射液（100ml:5g）的《药品补充申请批准通知书》（通知书编号：2024B00861）中【包装规格】由“50ml/袋”修正为“100ml/袋”。,广东省药品监督管理局,2024-05-28,已备案,详情
豫备2024019906,维生素B1片,国药准字H41022757,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
鄂备2024017511,强力枇杷露,国药准字Z42021565,湖北虎泉药业有限公司,武汉市东湖开发区关南科技工业园关山二路18号,湖北虎泉药业有限公司,武汉市东湖开发区关南科技工业园关山二路18号,1.增加每袋装15ml的包装规格；2.在原有口服液体药用聚酯瓶包装材料的基础上增加聚酯/铝/流延聚丙烯口服液体药用复合膜的包装材料，用于包装规格为每袋装15ml的包装。,湖北省药品监督管理局,2024-05-28,已备案,详情
豫备2024020051,土霉素片,国药准字H41022606,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
鲁备2024019765,硫酸氨基葡萄糖胶囊,国药准字H20243588,瑞阳制药股份有限公司,山东省沂源县城瑞阳路1号,瑞阳制药股份有限公司,山东省沂源县城瑞阳路1号,申请将我公司生产品种：硫酸氨基葡萄糖胶囊药品说明书、包装标签中增加一致性评价专用标识。,山东省药品监督管理局,2024-05-28,已备案,详情
琼备2024019630,重酒石酸间羟胺注射液,国药准字H20243598,海南倍特药业有限公司,海口市海口国家高新技术产业开发区药谷一路4号,海南倍特药业有限公司,海口市海口国家高新技术产业开发区药谷一路4号,本品的说明书和标签增加“通过一致性评价”标识，其他内容不变。,海南省药品监督管理局,2024-05-28,已备案,详情
豫备2024020113,阿司匹林肠溶片,国药准字H41022938,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
鲁备2024019537,二甲双胍格列本脲胶囊（Ⅰ）,国药准字H20041939,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（完整版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-05-28,已备案,详情
赣备2024018857,保和丸,国药准字Z36021784,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,江西省樟树市福城工业园区；江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-28,已备案,详情
赣备2024019067,注射用头孢呋辛钠,国药准字H20040952,南昌立健药业有限公司,江西省南昌经济技术开发区龙潭路22号,"深圳立健药业有限公司,南昌立健药业有限公司","深圳市龙华区大浪街道同胜社区园富路1号,江西省南昌经济技术开发区龙潭路22号",申请增加深圳信立泰药业股份有限公司为注射用头孢呋辛钠原料药供应商。,江西省药品监督管理局,2024-05-28,已备案,详情
